[2022-07-01 06:10:08,515 UTC]Server started successfully!
[2022-07-01 06:10:18,750 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2022-07-01 06:10:21,495 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from wtf ta lurking to Amber.
[2022-07-01 06:10:25,821 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0][Amber]Used /roll and got 1 out of 1.
[2022-07-01 06:10:28,580 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0][Amber]Used /roll and got 7 out of 10.
[2022-07-01 06:10:45,852 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from Amber to Emiliano Arancio.
[2022-07-01 06:10:59,037 UTC]Successfully created error log file logs/[2022-07-01T031059]C.log
[2022-07-01 06:11:04,662 UTC]Successfully created error log file logs/[2022-07-01T031104]C.log
[2022-07-01 06:11:08,006 UTC]Successfully created error log file logs/[2022-07-01T031108]C.log
[2022-07-01 06:11:15,087 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from Emiliano Arancio to Amber.
[2022-07-01 06:11:18,259 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0][Amber]Used /roll and got 10 out of 10.
[2022-07-01 06:11:23,731 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0][Amber]Used /roll and got 2 out of 20.
[2022-07-01 06:11:26,259 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0][Amber]Used /roll and got 29 out of 30.
[2022-07-01 06:11:28,484 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0][Amber]Used /roll and got 4 out of 90.
[2022-07-01 06:11:34,246 UTC]Successfully created error log file logs/[2022-07-01T031134]C.log
[2022-07-01 06:13:02,897 UTC]Server has successfully shut down.
[2022-07-01 06:13:17,629 UTC]Server started successfully!
[2022-07-01 06:14:06,753 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][6]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2022-07-01 06:14:11,088 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2022-07-01 06:14:14,446 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from wtf ta lurking to Emiliano Arancio.
[2022-07-01 06:14:17,751 UTC]Successfully created error log file logs/[2022-07-01T031417]C.log
[2022-07-01 06:14:25,727 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from Emiliano Arancio to Saul Goodman.
[2022-07-01 06:14:28,175 UTC]Successfully created error log file logs/[2022-07-01T031428]C.log
[2022-07-01 06:14:31,331 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from Saul Goodman to Amber.
[2022-07-01 06:14:35,111 UTC]Successfully created error log file logs/[2022-07-01T031435]C.log
[2022-07-01 06:15:21,142 UTC]Server has successfully shut down.
[2022-07-01 06:15:23,441 UTC]Server started successfully!
[2022-07-01 06:15:27,817 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2022-07-01 06:15:30,884 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from wtf ta lurking to Amber.
[2022-07-01 06:15:36,220 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0][Amber]Used /roll and got 8 out of 20.
[2022-07-01 06:19:22,576 UTC]Server has successfully shut down.
[2022-07-01 06:19:23,992 UTC]Server started successfully!
[2022-07-01 06:19:27,376 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2022-07-01 06:19:29,851 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from wtf ta lurking to Ryuk_HD.
