[2021-01-02 01:30:05,903 UTC]Server started successfully!
[2021-01-02 01:31:03,479 UTC][9703229676     ][eb26289][0]Connected. HDID: eb26289.
[2021-01-02 01:31:10,850 UTC][9703229676     ][eb26289][0][0]Changed character from wtf ta lurking to Maki Harukawa_HD.
[2021-01-02 01:33:12,190 UTC][9703229676     ][eb26289][0][IC][0][Maki Harukawa_HD] 
[2021-01-02 01:43:43,848 UTC]Server started successfully!
[2021-01-02 01:43:51,399 UTC][9703229676     ][eb26289][0]Connected. HDID: eb26289.
[2021-01-02 01:43:56,052 UTC][9703229676     ][eb26289][0][0]Changed character from wtf ta lurking to Maki Harukawa_HD.
[2021-01-02 01:44:07,000 UTC][9703229676     ][eb26289][0][IC][0][Maki Harukawa_HD] 
[2021-01-02 03:53:51,967 UTC]Server started successfully!
[2021-01-02 03:53:59,824 UTC][9703229676     ][eb26289][0]Connected. HDID: eb26289.
[2021-01-02 03:54:07,285 UTC][9703229676     ][eb26289][0][0]Changed character from wtf ta lurking to Anne x Mary.
[2021-01-02 03:54:12,432 UTC][9703229676     ][eb26289][0][0]Changed character from Anne x Mary to Lilith_HD.
[2021-01-02 03:54:15,042 UTC][9703229676     ][eb26289][0][IC][0][Lilith_HD]a
[2021-01-02 03:57:08,981 UTC][9703229676     ][eb26289][0][0]Changed character from Lilith_HD to Medicine Melancholy.
[2021-01-02 03:57:55,526 UTC]Server started successfully!
[2021-01-02 03:58:02,606 UTC][9703229676     ][eb26289][0]Connected. HDID: eb26289.
[2021-01-02 03:58:11,772 UTC][9703229676     ][eb26289][0][0]Changed character from wtf ta lurking to Medicine Melancholy.
[2021-01-02 03:58:24,071 UTC][9703229676     ][eb26289][0][0]Changed character from Medicine Melancholy to Gray_HD.
[2021-01-02 03:58:25,585 UTC][9703229676     ][eb26289][0][IC][0][Gray_HD]b
[2021-01-02 03:58:29,299 UTC][9703229676     ][eb26289][0][0]Changed character from Gray_HD to Medicine Melancholy.
[2021-01-02 03:59:09,932 UTC][9703229676     ][eb26289][0][0]Changed character from Medicine Melancholy to Kane Himuro.
[2021-01-02 03:59:19,088 UTC][9703229676     ][eb26289][0][IC][0][Kane Himuro] 
