[2021-11-01 21:46:50,435 UTC]Server started successfully!
[2021-11-01 21:47:04,459 UTC][8669832411     ][1a338931][0]Connected. HDID: 1a338931.
[2021-11-01 21:47:09,824 UTC][8669832411     ][1a338931][0][0]Changed character from wtf ta lurking to Neptune_HD.
[2021-11-01 21:47:22,015 UTC][8669832411     ][1a338931][0][Neptune_HD]Changed area from Lobby (0) to La Diana Nave (16).
[2021-11-01 21:47:23,524 UTC][8669832411     ][1a338931][0][IC][16][Neptune_HD]a
[2021-11-01 21:47:27,840 UTC][8669832411     ][1a338931][0][IC][16][Neptune_HD]s
[2021-11-01 21:47:29,631 UTC][8669832411     ][1a338931][0][Neptune_HD]Changed area from La Diana Nave (16) to La Diana Nave Interior (17).
[2021-11-01 21:47:33,055 UTC][8669832411     ][1a338931][0][IC][17][Neptune_HD]sadadsa
[2021-11-01 21:47:36,000 UTC][8669832411     ][1a338931][0][Neptune_HD]Changed area from La Diana Nave Interior (17) to Nucleo (18).
[2021-11-01 21:47:37,675 UTC][8669832411     ][1a338931][0][IC][18][Neptune_HD]asasdsada
[2021-11-01 21:48:27,259 UTC][8669832411     ][1a338931][0][18]Changed character from Neptune_HD to Emiliano Arancio.
[2021-11-01 21:48:30,311 UTC][8669832411     ][1a338931][0][Emiliano Arancio]Changed area from Nucleo (18) to Lobby (0).
[2021-11-01 21:48:32,520 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]1
[2021-11-01 21:53:14,086 UTC]Server started successfully!
[2021-11-01 21:53:15,369 UTC][8669832411     ][1a338931][0]Connected. HDID: 1a338931.
[2021-11-01 21:53:20,314 UTC][8669832411     ][1a338931][0][0]Changed character from wtf ta lurking to Emiliano Arancio.
[2021-11-01 21:53:23,424 UTC][8669832411     ][1a338931][0][Emiliano Arancio]Changed area from Lobby (0) to La Diana Nave Interior (17).
[2021-11-01 21:53:24,729 UTC][8669832411     ][1a338931][0][IC][17][Emiliano Arancio]1
[2021-11-01 21:53:26,626 UTC][8669832411     ][1a338931][0][Emiliano Arancio]Changed area from La Diana Nave Interior (17) to Lobby (0).
[2021-11-01 21:53:28,567 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]2
[2021-11-01 22:47:22,330 UTC][6763487501     ][1fd7f781-5b67-464a-af9c-918e971f4b5a][1]Connected. HDID: 1fd7f781-5b67-464a-af9c-918e971f4b5a.
[2021-11-01 22:47:40,648 UTC][6763487501     ][1fd7f781-5b67-464a-af9c-918e971f4b5a][1][0]Changed character from wtf ta lurking to Los papus dos puntos.
[2021-11-01 22:49:02,962 UTC][6763487501     ][1fd7f781-5b67-464a-af9c-918e971f4b5a][1]Connected. HDID: 1fd7f781-5b67-464a-af9c-918e971f4b5a.
[2021-11-01 22:49:19,487 UTC][6763487501     ][1fd7f781-5b67-464a-af9c-918e971f4b5a][1][0]Changed character from wtf ta lurking to Los papus dos puntos.
[2021-11-01 22:51:44,572 UTC][6763487501     ][1fd7f781-5b67-464a-af9c-918e971f4b5a][1]Connected. HDID: 1fd7f781-5b67-464a-af9c-918e971f4b5a.
[2021-11-01 22:52:10,492 UTC][6763487501     ][1fd7f781-5b67-464a-af9c-918e971f4b5a][1][0]Changed character from wtf ta lurking to Persona1.
[2021-11-01 22:52:13,326 UTC][6763487501     ][1fd7f781-5b67-464a-af9c-918e971f4b5a][1][IC][0][Persona1]WHEN
[2021-11-01 23:30:46,039 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1]Connected. HDID: eaf1e700-95d7-4f23-a441-29429a73f77e.
[2021-11-01 23:31:00,779 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][0]Changed character from wtf ta lurking to Persona6.
[2021-11-01 23:31:14,776 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][IC][0][Persona6]QUÉ WATAMOTES
[2021-11-01 23:49:33,951 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]DSASADSADSA
[2021-11-01 23:49:44,649 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][IC][0][Persona6]QUÉ.
[2021-11-01 23:50:03,829 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]HOLA.
[2021-11-01 23:50:07,445 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]COMO ESTAS?
[2021-11-01 23:50:23,512 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][IC][0][Persona6]NO HAY UNA RESPUESTA FIJA PARA TAL INCÓGNITA
[2021-11-01 23:50:32,078 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]De hecho si
[2021-11-01 23:50:38,544 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]Ya viene Calrcon y Ivna.
[2021-11-01 23:50:41,728 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]Y comenzamos lol
[2021-11-01 23:50:50,299 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][IC][0][Persona6]POR QUÉ ESCRIBISTE LOS DOS NOMBRES MAL
[2021-11-01 23:50:58,861 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]ANDO
[2021-11-01 23:51:01,850 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]RIENDOME
[2021-11-01 23:51:03,102 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]XDDDDDD
[2021-11-01 23:51:05,514 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][IC][0][Persona6]DE QUÉ
[2021-11-01 23:51:11,854 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]DEL CAOS
[2021-11-01 23:51:16,083 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][IC][0][Persona6]QUÉ CAOS
[2021-11-01 23:51:17,616 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][IC][0][Persona6]QUÉ HABLAS
[2021-11-01 23:51:26,545 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]NO SE
[2021-11-01 23:51:27,899 UTC][8669832411     ][1a338931][0][IC][0][Emiliano Arancio]VENI AL VC
[2021-11-01 23:51:41,157 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD]Logged in as a moderator.
[2021-11-01 23:51:45,950 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][0][Persona6]Changed music to https://cdn.discordapp.com/attachments/414465537821769729/904878905800917042/Snoop_Dogg_Smoke_weed_every_day_dubstep_remix_160k.mp3.
[2021-11-01 23:52:46,007 UTC][8669832411     ][1a338931][0][0]Changed character from Emiliano Arancio to Neptune_HD.
[2021-11-01 23:56:29,762 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][0][Persona6]Changed music to https://cdn.discordapp.com/attachments/904510122796126229/904568269619466310/watamote_Opening_sub_espanol.mp3.
[2021-11-01 23:58:43,696 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][0][Persona6]Changed music to https://cdn.discordapp.com/attachments/616046942572642321/904880687327350824/WATAMOTE.mp3.
[2021-11-01 23:58:55,615 UTC][8669832411     ][1a338931][0][IC][0][Neptune_HD] 
[2021-11-02 00:00:07,239 UTC][8948438259     ][ceb298d5][2]Connected. HDID: ceb298d5.
[2021-11-02 00:01:07,901 UTC][8669832411     ][1a338931][2]Connected. HDID: 1a338931.
[2021-11-02 00:01:16,277 UTC][8669832411     ][1a338931][2][0]Changed character from wtf ta lurking to Los papus dos puntos.
[2021-11-02 00:01:28,246 UTC][8948438259     ][ceb298d5][3]Connected. HDID: ceb298d5.
[2021-11-02 00:01:35,978 UTC][8948438259     ][ceb298d5][3][0]Changed character from wtf ta lurking to Mika_HD.
[2021-11-02 00:01:45,593 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][0][Persona6] 
[2021-11-02 00:01:56,613 UTC][8948438259     ][ceb298d5][3][IC][0][Mika_HD]SEX
[2021-11-02 00:04:19,105 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][0][Persona6]https://www.youtube.com/watch?v=8naYjtf881o
[2021-11-02 00:04:37,746 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][0][Persona6]LOL
[2021-11-02 00:04:55,591 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD]4318818289 set their showname to `ARISTOTELES`.
[2021-11-02 00:05:04,591 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][0][Persona6]NO EMPIECEN A FILOSOFAR SIN MÍ
[2021-11-02 00:05:11,631 UTC][612274344      ][2296934f][4]Connected. HDID: 2296934f.
[2021-11-02 00:05:19,200 UTC][612274344      ][2296934f][4][0]Changed character from wtf ta lurking to Rina.
[2021-11-02 00:05:26,608 UTC][612274344      ][2296934f][4][Rina]Changed area from Lobby (0) to Sala de Comandos (3).
[2021-11-02 00:05:46,402 UTC][612274344      ][2296934f][4][IC][3][Rina]Busco novia otaku, no necesariamente debe ser rubia
[2021-11-02 00:06:53,880 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][0][Persona6]Changed music to https://cdn.discordapp.com/attachments/616046942572642321/904882633773817886/WATAMOTE_FULL_OPENING_Sub._Espanol__160k.mp3.
[2021-11-02 00:07:54,919 UTC][8669832411     ][1a338931][0][Neptune_HD]Changed area from Lobby (0) to Nave (1).
[2021-11-02 00:07:59,433 UTC][8669832411     ][1a338931][2][Los papus dos puntos]Changed area from Lobby (0) to Nave (1).
[2021-11-02 00:08:17,206 UTC][612274344      ][2296934f][4][Rina]Changed area from Sala de Comandos (3) to Nave (1).
[2021-11-02 00:08:24,157 UTC][8948438259     ][ceb298d5][3][Mika_HD]Changed area from Lobby (0) to Nave (1).
[2021-11-02 00:08:35,320 UTC][612274344      ][2296934f][4][IC][1][Rina]¿Con que esto es Carlos Daniel Concha Meiggs?
[2021-11-02 00:08:35,780 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][Persona6]Changed area from Lobby (0) to Nave (1).
[2021-11-02 00:08:40,896 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][1][Persona6]MATAR.
[2021-11-02 00:08:46,557 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][1]Changed character from Persona6 to Homura Akemi_HD.
[2021-11-02 00:08:52,175 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][1][Homura Akemi_HD]YO.
[2021-11-02 00:09:01,769 UTC][612274344      ][2296934f][4][IC][1][Rina]Hola Homu Homu
[2021-11-02 00:09:44,353 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD]4318818289 set their showname to `HOMURA NIETZSCHE`.
[2021-11-02 00:09:54,301 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][1][Homura Akemi_HD]MUTILAR
[2021-11-02 00:10:14,970 UTC][612274344      ][2296934f][4][IC][1][Rina]Si, opino lo mismo
[2021-11-02 00:11:44,898 UTC][8669832411     ][1a338931][0][Neptune_HD]Changed area from Nave (1) to Sala de Comandos (3).
[2021-11-02 00:11:47,007 UTC][8948438259     ][ceb298d5][3][Mika_HD]Changed area from Nave (1) to Sala de Comandos (3).
[2021-11-02 00:11:49,703 UTC][8669832411     ][1a338931][2][Los papus dos puntos]Changed area from Nave (1) to Sala de Comandos (3).
[2021-11-02 00:12:21,563 UTC][8669832411     ][1a338931][0][IC][3][Neptune_HD]NEGROS DE MIERDA.
[2021-11-02 00:12:29,359 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][Homura Akemi_HD]Changed area from Nave (1) to Sala de Comandos (3).
[2021-11-02 00:12:30,026 UTC][612274344      ][2296934f][4][Rina]Changed area from Nave (1) to Sala de Comandos (3).
[2021-11-02 00:12:33,807 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][3][Homura Akemi_HD]AAAAAAAAAAAAAAAAAAAAAAGRIA
[2021-11-02 00:12:42,688 UTC][8669832411     ][1a338931][0][IC][3][Neptune_HD]AAAAAAAAAAAAAAAGRIA
[2021-11-02 00:12:47,728 UTC][612274344      ][2296934f][4][IC][3][Rina]¿A que hora dan de comer aqui?
[2021-11-02 00:13:22,831 UTC][8669832411     ][1a338931][0][IC][3][Neptune_HD]Si.
[2021-11-02 00:13:42,202 UTC][8948438259     ][ceb298d5][3][IC][3][Mika_HD]danos la plata gorda de mierda
[2021-11-02 00:13:58,839 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][3][Homura Akemi_HD]1] Homura Akemi_HD (4318818289) 
[2] Los papus dos puntos (MC) (8669832411) 
[3] Mika_HD (8948438259) 
[0] Neptune_HD (MC) (8669832411) 
[4] Rina (612274344) 
[2021-11-02 00:14:15,972 UTC][8669832411     ][1a338931][0][IC][3][Neptune_HD]Simple
[2021-11-02 00:14:29,887 UTC][8669832411     ][1a338931][0][IC][3][Neptune_HD]Literal nos estamos quedando sin dinero
[2021-11-02 00:14:35,020 UTC][612274344      ][2296934f][4][IC][3][Rina]Hola Mika 
[2021-11-02 00:14:39,482 UTC][4318818289     ][eaf1e700-95d7-4f23-a441-29429a73f77e][1][MOD][IC][3][Homura Akemi_HD]HOLA JOEEEEEEEEEEEEEEEL
