[2022-06-21 09:34:38,458 UTC]Server started successfully!
[2022-06-21 09:35:11,220 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0]Connected. HDID: 73318f07-1284-4b83-8778-6ea7333b87a7.
[2022-06-21 09:36:12,541 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0][0]Changed character from wtf ta lurking to Goku.
[2022-06-21 09:36:21,150 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0][IC][0][Goku]dfdsdsfdsf
[2022-06-21 09:37:14,496 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0]Connected. HDID: 73318f07-1284-4b83-8778-6ea7333b87a7.
[2022-06-21 09:38:50,694 UTC]Server started successfully!
[2022-06-21 09:38:59,424 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0]Connected. HDID: 73318f07-1284-4b83-8778-6ea7333b87a7.
[2022-06-21 09:39:02,413 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0][0]Changed character from wtf ta lurking to Goku.
[2022-06-21 09:39:05,373 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0][IC][0][Goku]adssdadsadsa
[2022-06-21 09:40:31,086 UTC]Server started successfully!
[2022-06-21 09:40:33,885 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0]Connected. HDID: 73318f07-1284-4b83-8778-6ea7333b87a7.
[2022-06-21 09:40:35,998 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0][0]Changed character from wtf ta lurking to Fuego Fresquito.
[2022-06-21 09:41:15,370 UTC]Server started successfully!
[2022-06-21 09:41:18,315 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0]Connected. HDID: 73318f07-1284-4b83-8778-6ea7333b87a7.
[2022-06-21 09:41:22,526 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0]Connected. HDID: 73318f07-1284-4b83-8778-6ea7333b87a7.
[2022-06-21 09:41:25,029 UTC][9703229676     ][73318f07-1284-4b83-8778-6ea7333b87a7][0][0]Changed character from wtf ta lurking to Fuego Fresquito.
