[2021-12-02 12:57:17,601 UTC]Server started successfully!
[2021-12-02 12:57:53,833 UTC]Server started successfully!
[2021-12-02 12:58:23,580 UTC]Server started successfully!
[2021-12-02 13:00:40,845 UTC]Server started successfully!
[2021-12-02 13:02:44,727 UTC]Server started successfully!
[2021-12-02 13:09:15,093 UTC]Server started successfully!
[2021-12-02 13:14:10,952 UTC]Server started successfully!
[2021-12-02 13:15:06,312 UTC]Server started successfully!
[2021-12-02 13:15:11,721 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2021-12-02 13:15:18,949 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from wtf ta lurking to Persona1.
[2021-12-02 13:15:21,023 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][IC][0][Persona1]  
[2021-12-02 13:15:21,461 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][IC][0][Persona1]   
[2021-12-02 13:15:23,891 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from Persona1 to Persona2.
[2021-12-02 13:15:25,814 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][IC][0][Persona2]  
[2021-12-02 13:15:26,285 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][IC][0][Persona2]   
[2021-12-02 13:15:28,472 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from Persona2 to Persona1.
[2021-12-02 13:15:30,302 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][IC][0][Persona1]cvgn
[2021-12-02 13:15:30,797 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][IC][0][Persona1]V<sagzash
[2021-12-02 13:16:25,246 UTC]Server started successfully!
[2021-12-02 13:16:27,264 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2021-12-02 13:16:43,445 UTC]Server started successfully!
[2021-12-02 13:16:44,060 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2021-12-02 13:16:45,903 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2021-12-02 13:16:48,289 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0]Connected. HDID: 36d324c9-1e68-4e12-9110-1537132b7cde.
[2021-12-02 13:16:51,456 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][0]Changed character from wtf ta lurking to Mitsurugi Meiya.
[2021-12-02 13:16:52,743 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][IC][0][Mitsurugi Meiya]asdasf
[2021-12-02 13:16:53,247 UTC][9703229676     ][36d324c9-1e68-4e12-9110-1537132b7cde][0][IC][0][Mitsurugi Meiya]afdsg
